cmd_x_mm,cmd_y_mm,px_x,px_y
-287.91580885294434,160.68148882082627,-388.4307860529316,199.44804949234705
-221.56152437812725,160.68148882082627,-309.3482901279692,201.16817689411465
-155.20723990331015,160.68148882082627,-217.01069481291537,199.8383304994708
-88.85295542849306,160.68148882082627,-118.47196794022875,195.9499752803491
43.85561352114112,160.68148882082627,44.434215403643634,161.63415635769132
110.20989799595822,160.68148882082627,126.13303956154662,182.59369192544776
176.5641824707753,160.68148882082627,216.2445876507836,198.14711280193458
176.5641824707753,227.03577329564337,241.00574932496755,299.200983942752
110.20989799595822,227.03577329564337,142.91512286786747,283.06936898163735
43.85561352114112,227.03577329564337,60.912746815534895,280.1350340021515
-22.49867095367597,227.03577329564337,-22.7374823779868,286.1048879259331
-88.85295542849306,227.03577329564337,-109.37986595945718,291.85791906797937
-155.20723990331015,227.03577329564337,-211.90813201607537,295.4571772447872
-221.56152437812725,227.03577329564337,-299.25880335121474,297.1483949423234
-287.91580885294434,227.03577329564337,-386.6817489469326,299.83699743584253
-287.91580885294434,293.39005777046043,-390.1220037504678,388.8210670600553
-221.56152437812725,293.39005777046043,-313.68474576267744,399.373109104512
-155.20723990331015,293.39005777046043,-225.90042886406724,391.69758263107843
-88.85295542849306,293.39005777046043,-127.01478554060397,396.85796483638126
-22.49867095367597,293.39005777046043,-34.53264170439318,393.5333488497716
43.85561352114112,293.39005777046043,53.0493072645973,374.8143153599477
110.20989799595822,293.39005777046043,133.69292721805462,382.66330005876966
176.5641824707753,293.39005777046043,224.10802720172117,380.19152034698595
176.5641824707753,359.7443422452775,249.7942994113096,482.3150505443647
110.20989799595822,359.7443422452775,147.98877596047612,475.9404607613436
43.85561352114112,359.7443422452775,58.35423799105704,481.4766691216544
-22.49867095367597,359.7443422452775,-21.017354976219206,483.74608090381844
-88.85295542849306,359.7443422452775,-121.76767422260701,490.48204198973184
-221.56152437812725,359.7443422452775,-301.4559408728002,493.50310608191194
-88.85295542849306,426.09862672009456,-131.1199635414611,578.0350812544909
